CodeFormat;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
Kompakt;1;2;2;true;2060;
Kompakt;1;9;9;true;1741;
Kompakt;1;7;7;true;1679;
Leerzeilen;1;3;3;true;1828;
Kompakt;1;5;5;true;1770;
Leerzeilen;1;2;2;true;1932;
Kompakt;1;6;6;true;2040;
Leerzeilen;1;7;7;true;3380;
Kompakt;1;4;4;true;1490;
Kompakt;1;8;8;true;2200;
Kompakt;1;6;6;true;1749;
Kompakt;1;8;8;true;1670;
Leerzeilen;1;8;8;true;1570;
Kompakt;1;2;2;true;2010;
Kompakt;1;9;9;true;1750;
Kompakt;1;4;4;true;1660;
Kompakt;1;8;8;true;2351;
Leerzeilen;1;4;4;true;2549;
Kompakt;1;2;2;true;2259;
Leerzeilen;1;7;7;true;2250;
Kompakt;1;2;2;true;2669;
Kompakt;1;5;5;true;1689;
Leerzeilen;1;8;8;true;3150;
Kompakt;1;4;4;true;1630;
Leerzeilen;1;2;2;true;1938;
Leerzeilen;1;6;6;true;2030;
Leerzeilen;1;4;4;true;1641;
Kompakt;1;2;2;true;1980;
Leerzeilen;1;8;8;true;3709;
Leerzeilen;1;4;4;true;1570;
Leerzeilen;1;2;2;true;1430;
Leerzeilen;1;9;9;true;3420;
Leerzeilen;1;8;8;true;2130;
Leerzeilen;1;6;6;true;1480;
Leerzeilen;1;4;4;true;1700;
Leerzeilen;1;4;4;true;1940;
Kompakt;1;6;6;true;2130;
Leerzeilen;1;3;3;true;1580;
Kompakt;1;7;7;true;1810;
Leerzeilen;1;9;9;true;3830;
